name,state,url,location,summit_elevation,base_elevation,vertical_drop,skiable_area,number_of_trails,number_of_lifts,annual_snowfall,website,coordinates,owner_operator,opening_year,status
Sugarbush Resort,Vermont,https://en.wikipedia.org/wiki/Sugarbush_Resort,"Warren , Vermont , US (2 miles ESE), Waitsfield (4 miles E)","4,083 feet (1,244 m)","1,483 feet (452 m)","2,600 feet (790 m)",484 acres (1.96 km 2 )s (2.34 km²),111,,250 inches (640 cm),https://www.sugarbush.com/,44°08′06″N 72°53′09″W ﻿ / ﻿ 44.135098°N 72.885962°W ﻿ / 44.135098; -72.885962,Alterra Mountain Company,,Operating
Wisp Ski Resort,Maryland,https://en.wikipedia.org/wiki/Wisp_Ski_Resort,"Garrett County, Maryland",3115 ft - (950 m),2415 ft - (736 m),700 ft - (213 m),132 acres (0.53 km 2 ),34,,100 in. -  (254 cm),https://www.wispresort.com/,39°33′29″N 79°21′47″W ﻿ / ﻿ 39.55806°N 79.36306°W ﻿ / 39.55806; -79.36306,,,
Big Snow American Dream,New Jersey,https://en.wikipedia.org/wiki/Big_Snow_American_Dream,"Meadowlands Sports Complex , East Rutherford , New Jersey",,,,4 acres (1.6 ha),3,,,http://bigsnowamericandream.com,40°48′40″N 74°04′12″W ﻿ / ﻿ 40.81111°N 74.07000°W ﻿ / 40.81111; -74.07000,Snow Operating,,Operating
Campgaw Mountain,New Jersey,https://en.wikipedia.org/wiki/Campgaw_Mountain,"Bergen County , New Jersey, U.S.",,,,,,,,,41°03′15″N 74°11′57″W ﻿ / ﻿ 41.05426°N 74.19919°W ﻿ / 41.05426; -74.19919,,,
Hidden Valley,New Jersey,https://en.wikipedia.org/wiki/Hidden_Valley_(New_Jersey),"Vernon Township , Sussex County , New Jersey , United States","1,435 ft (437 m) AMSL",815 ft (248 m),620 ft (189 m),,15 total - 25% easiest - 30% more difficult - 45% most difficult,,,,41°11′8.16″N 74°28′50.16″W ﻿ / ﻿ 41.1856000°N 74.4806000°W ﻿ / 41.1856000; -74.4806000,,,Defunct
Mountain Creek,New Jersey,https://en.wikipedia.org/wiki/Mountain_Creek,"Vernon Township, New Jersey","454 m (1,490 ft)",137 m (449 ft),,167 acres (68 ha),46,,165 cm (65 in)/year,https://mountaincreek.com/,41°10′52″N 74°30′47″W ﻿ / ﻿ 41.181°N 74.513°W ﻿ / 41.181; -74.513,,,Operating
Beartown Ski Area,New York,https://en.wikipedia.org/w/index.php?title=Beartown_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Belleayre Ski Center,New York,https://en.wikipedia.org/wiki/Belleayre_Ski_Center,"Highmount , New York","3,429 ft (1,045.2 m)","2,025 ft (617.2 m)","1,404 ft (427.9 m)",171 acres (0.7 km 2 ),62,,,https://www.belleayre.com,42°8′31.97″N 74°30′38.8″W ﻿ / ﻿ 42.1422139°N 74.510778°W ﻿ / 42.1422139; -74.510778,Olympic Regional Development Authority,,Operating
Big Tupper Ski Area,New York,https://en.wikipedia.org/w/index.php?title=Big_Tupper_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Brantling Ski Slopes,New York,https://en.wikipedia.org/w/index.php?title=Brantling_Ski_Slopes&action=edit&redlink=1,,,,,,,,,,,,,
Bristol Mountain Ski Resort,New York,https://en.wikipedia.org/wiki/Bristol_Mountain_Ski_Resort,"Bristol Mountain, 5662 NY 64","2,150 feet (660 m)","1,000 feet (300 m)","1,150 feet (350 m)",160 acres (0.65 km 2 ),35,,130 inches (330 cm),https://www.bristolmountain.com/,42°44′42″N 77°24′16″W ﻿ / ﻿ 42.745°N 77.404444°W ﻿ / 42.745; -77.404444,,,
Buffalo Ski Club,New York,https://en.wikipedia.org/w/index.php?title=Buffalo_Ski_Club&action=edit&redlink=1,,,,,,,,,,,,,
Catamount Ski Area,New York,https://en.wikipedia.org/wiki/Catamount_Ski_Area,"Egremont , Massachusetts / Hillsdale , New York , USA","2,000 ft (610 m)",,"1,000 ft (300 m)",119 acres (0.48 km 2 ),44,,"75""",http://www.catamountski.com/,42°10′17″N 73°28′40″W ﻿ / ﻿ 42.171457°N 73.477764°W ﻿ / 42.171457; -73.477764,,,Operating
Dry Hill Ski Area,New York,https://en.wikipedia.org/w/index.php?title=Dry_Hill_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Gore Mountain,New York,https://en.wikipedia.org/wiki/Gore_Mountain_(ski_resort),"North Creek , New York","3,600 ft (1,100 m)",998 ft (460 m) at North Creek Ski Bowl,"2,537 ft (773 m)",428 acres (173 ha),110,,150 inches (3.8 m) / year,http://www.goremountain.com/,43°40′20″N 74°00′25″W ﻿ / ﻿ 43.67222°N 74.00694°W ﻿ / 43.67222; -74.00694,Olympic Regional Development Authority,,Operating
Greek Peak,New York,https://en.wikipedia.org/wiki/Greek_Peak,"Virgil , New York , United States","2,200 feet (670 m)","1,148 feet (350 m)",952 feet (290 m),220 acres (0.89 km 2 ),55,,122 inches (310 cm),https://www.greekpeak.net,42°30′31″N 76°08′46″W ﻿ / ﻿ 42.5085996°N 76.1460485°W ﻿ / 42.5085996; -76.1460485,,,
Hickory Ski Center,New York,https://en.wikipedia.org/w/index.php?title=Hickory_Ski_Center&action=edit&redlink=1,,,,,,,,,,,,,
Holiday Valley,New York,https://en.wikipedia.org/wiki/Holiday_Valley_(ski_resort),"Ellicottville , New York, USA","2,250 feet (690 m)","1,500 feet (460 m)",750 feet (230 m),290 acres (120 ha),58 total,,15 feet (4.6 m),http://www.holidayvalley.com/,42°15′45″N 78°40′5″W ﻿ / ﻿ 42.26250°N 78.66806°W ﻿ / 42.26250; -78.66806,,,
Holiday Mountain Ski & Fun,New York,https://en.wikipedia.org/w/index.php?title=Holiday_Mountain_Ski_%26_Fun&action=edit&redlink=1,,,,,,,,,,,,,
Holimont,New York,https://en.wikipedia.org/w/index.php?title=Holimont&action=edit&redlink=1,,,,,,,,,,,,,
Hunter Mountain,New York,https://en.wikipedia.org/wiki/Hunter_Mountain_(ski_area),"Hunter, New York , U.S.","3,200 ft (975 m)","1,600 ft (488 m)","1,600 feet (490 m)",320 acres (130 ha),"67, beginner 25%, intermediate 30%, advanced 30%, expert 15%",,120 in (305 cm) annual average,https://www.huntermtn.com,42°12′01″N 74°13′49″W ﻿ / ﻿ 42.200278°N 74.230278°W ﻿ / 42.200278; -74.230278,Vail Resorts,,Operating
Kissing Bridge,New York,https://en.wikipedia.org/w/index.php?title=Kissing_Bridge&action=edit&redlink=1,,,,,,,,,,,,,
Labrador Mountain,New York,https://en.wikipedia.org/w/index.php?title=Labrador_Mountain&action=edit&redlink=1,,,,,,,,,,,,,
Mount Peter Ski Area,New York,https://en.wikipedia.org/w/index.php?title=Mount_Peter_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
McCauley Mountain,New York,https://en.wikipedia.org/wiki/McCauley_Mountain_(New_York),"SE of Old Forge , New York , USA",,,,,,,,,43°41′33″N 74°57′41″W ﻿ / ﻿ 43.6925676°N 74.9612837°W ﻿ / 43.6925676; -74.9612837,,,
Oak Mountain,New York,"https://en.wikipedia.org/w/index.php?title=Oak_Mountain_(Hamilton_County,_New_York)&action=edit&redlink=1",,,,,,,,,,,,,
Peek'n Peak,New York,https://en.wikipedia.org/wiki/Peek%27n_Peak,"Town of French Creek , Chautauqua County , near Findley Lake , New York, USA","1,800 ft (549 m)","1,400 ft (427 m)",400 ft (122 m),130 acres (52.6 ha ),25,,105 inches,https://www.pknpk.com/,42°3′45″N 79°44′12″W ﻿ / ﻿ 42.06250°N 79.73667°W ﻿ / 42.06250; -79.73667,,,
Plattekill Mountain,New York,https://en.wikipedia.org/wiki/Plattekill_Mountain,"Roxbury, New York","3,500 ft (1,100 m)","2,400 ft (730 m)","1,100 feet (340 m)",,40,,175 in (4.4 m),http://plattekill.com/,42°17′25″N 74°39′13″W ﻿ / ﻿ 42.290251°N 74.653678°W ﻿ / 42.290251; -74.653678,,,
Royal Mountain,New York,https://en.wikipedia.org/w/index.php?title=Royal_Mountain&action=edit&redlink=1,,,,,,,,,,,,,
Song Mountain Resort,New York,https://en.wikipedia.org/w/index.php?title=Song_Mountain_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Snow Ridge Ski Resort,New York,https://en.wikipedia.org/w/index.php?title=Snow_Ridge_Ski_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Swain,New York,https://en.wikipedia.org/w/index.php?title=Swain_(Ski_Area)&action=edit&redlink=1,,,,,,,,,,,,,
Sugar Hill,New York,https://en.wikipedia.org/w/index.php?title=Sugar_Hill_(Ski_Area)&action=edit&redlink=1,,,,,,,,,,,,,
Thunder Ridge Ski Area,New York,https://en.wikipedia.org/wiki/Thunder_Ridge_Ski_Area,"Patterson, New York",880 ft.,,403 ft.,"90 acres (360,000 m 2 )",21 48% easiest 19% more difficult 33% most difficult,,,http://www.thunderridgeski.com/,41.50722°N 73.58111°W,,,Operating
Titus Mountain,New York,https://en.wikipedia.org/wiki/Titus_Mountain,"Malone, New York /, U.S.","2,025 ft (617 m)",825 ft (251 m),"1,200 ft (370 m)",,53,,150in (279cm),https://www.titusmountain.com/,44.76333°N 74.23528°W,,,
Toggenburg Mountain,New York,https://en.wikipedia.org/w/index.php?title=Toggenburg_Mountain&action=edit&redlink=1,,,,,,,,,,,,,
West Mountain,New York,https://en.wikipedia.org/wiki/West_Mountain_(ski_area),"59 West Mountain Rd. Queensbury, NY","1,470 ft (450 m)",460 ft (141 m),"1,010 ft (310 m)",126 acres,31,,,http://www.westmtn.net/,43°17′8″N 73°43′42″W ﻿ / ﻿ 43.28556°N 73.72833°W ﻿ / 43.28556; -73.72833,,,Operating
Willard Mountain,New York,https://en.wikipedia.org/w/index.php?title=Willard_Mountain&action=edit&redlink=1,,,,,,,,,,,,,
Whiteface Mountain,New York,https://en.wikipedia.org/wiki/Whiteface_Mountain,"Wilmington , New York , U.S.",,,,,,,,,44°21′57″N 73°54′10″W ﻿ / ﻿ 44.36583°N 73.90278°W ﻿ / 44.36583; -73.90278,,,
Windham Mountain,New York,https://en.wikipedia.org/wiki/Windham_Mountain,"Windham, New York , US","3,100 feet (940 m)","1,500 feet (460 m)","1,600 feet (490 m)",285 acres (115 ha),54 total - 20% (12) novice - 48% (25) intermediate - 19% (10) advanced - 13% (7) expert,,"avg 86 inches (2,200 mm) per year",http://www.windhammountain.com/,42°17′55″N 74°15′26″W ﻿ / ﻿ 42.2987°N 74.2573°W ﻿ / 42.2987; -74.2573,"Beall Investment Partners, Kemmons Wilson Hospitality Partners , North Castle Partners, Cloverhill Group, McGuffog and Starker families",,Operating
Woods Valley Ski Resort,New York,https://en.wikipedia.org/w/index.php?title=Woods_Valley_Ski_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Victor Constant Ski Area,New York,https://en.wikipedia.org/w/index.php?title=Victor_Constant_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Bear Creek Mountain Resort,Pennsylvania,https://en.wikipedia.org/wiki/Bear_Creek_Mountain_Resort,"Longswamp Township, Pennsylvania , U.S.","1,100 feet (340 m)",590 feet (180 m),,"86 acres (350,000 m 2 )",21,,30 in/year,http://www.bcmr.com/,40°28′34″N 75°37′33″W ﻿ / ﻿ 40.47611°N 75.62583°W ﻿ / 40.47611; -75.62583,,,
Blue Knob All Seasons Resort,Pennsylvania,https://en.wikipedia.org/w/index.php?title=Blue_Knob_All_Seasons_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Blue Mountain Resort,Pennsylvania,https://en.wikipedia.org/wiki/Blue_Mountain_Resort,"Lower Towamensing Township, Carbon County , Pennsylvania","1,540 ft (470 m)",458 ft (140 m),"1,082 ft (330 m)",164 acres (0.66 km 2 ),"40 total 14 easier 4 more difficult 12 most difficult 3 extremely difficult 7 terrain park (1 easier, 3 more difficult, 2 most difficult, 1 extremely difficult)",,33 in (0.84 m),https://www.skibluemt.com/,40°49′20″N 75°30′48″W ﻿ / ﻿ 40.82222°N 75.51333°W ﻿ / 40.82222; -75.51333,,1977,
Boyce Park,Pennsylvania,https://en.wikipedia.org/wiki/Boyce_Park,"Allegheny County , Pennsylvania",,,,,,,,,40°27′56″N 79°44′43″W ﻿ / ﻿ 40.46556°N 79.74528°W ﻿ / 40.46556; -79.74528,,,
Camelback Mountain Resort,Pennsylvania,https://en.wikipedia.org/wiki/Camelback_Mountain_Resort,"Pocono Township / Jackson Township , Monroe County , near Tannersville , Pennsylvania , USA","2,133 feet (650 m)",,800 feet (240 m),166 acres (0.67 km 2 ),35 trails 39% Beginner 26% More Difficult 26% Most Difficult 9% Expert,,50 in/yr (1.27 m/yr),www.camelbackresort.com,41°03′05″N 75°21′19″W ﻿ / ﻿ 41.05139°N 75.35528°W ﻿ / 41.05139; -75.35528,,,
Eagle Rock Resort,Pennsylvania,https://en.wikipedia.org/w/index.php?title=Eagle_Rock_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Elk Mountain,Pennsylvania,https://en.wikipedia.org/wiki/Elk_Mountain_Ski_Area,"Herrick Township , Susquehanna County , near Union Dale , Pennsylvania , U.S.","2,667 ft (813 m)","1,742 ft (531 m)",925 ft (282 m),180 acres (0.73 km 2 ),27 : 25%—easy : 30%—difficult : 45%—more difficult : 0%—extreme,,60 inches (1.5 m),http://www.elkskier.com,41°43′16″N 75°33′32″W ﻿ / ﻿ 41.721°N 75.559°W ﻿ / 41.721; -75.559,,,
Hidden Valley Four Seasons Resort,Pennsylvania,https://en.wikipedia.org/wiki/Hidden_Valley_Four_Seasons_Resort,"Hidden Valley, Pennsylvania United States","2,875 ft (876 m)","2,405 ft (733 m)",470 ft (140 m),110 acres (45 ha),26 trails,,,http://www.hiddenvalleyresort.com,40°03′29″N 79°15′30″W ﻿ / ﻿ 40.058042°N 79.258277°W ﻿ / 40.058042; -79.258277,Vail Resorts,,Operating
Jack Frost Big Boulder,Pennsylvania,https://en.wikipedia.org/wiki/Jack_Frost_Ski_Resort,"Kidder Township, Pennsylvania , U.S.","2,175 ft (663 m) (Big Boulder), 2,000 ft (610 m) (Jack Frost)","1,700 ft (520 m) (Big Boulder), 1,400 ft (430 m) (Jack Frost)","475 ft (145 m) (Big Boulder), 600 ft (180 m) (Jack Frost)",,"18 (Big Boulder), 20 (Jack Frost)",,,https://www.jfbb.com,41.111°N 75.652°W,Vail Resorts,,Operating
Laurel Mountain Ski Resort,Pennsylvania,https://en.wikipedia.org/wiki/Laurel_Mountain_Ski_Resort,"Ligonier Township, Westmoreland County, Pennsylvania , United States","2,766 feet (843 m)","2,005 feet (611 m)",761 feet (232 m),"70 acres (280,000 m 2 )","20 total (10 Beginner, 7 Intermediate, 3 Advanced)",,,http://www.laurelmountainski.com/,,Commonwealth of Pennsylvania (operated by Vail Resorts ),,
Liberty Mountain Resort,Pennsylvania,https://en.wikipedia.org/wiki/Liberty_Mountain_Resort,"Carroll Valley , Pennsylvania , United States","1,190 feet (360 m)",570 feet (170 m),620 feet (190 m),100 acres (0.40 km 2 ),22 total 27% beginner 41% intermediate 14% advanced 18% expert,,31 in/year (.78 m/year),http://www.libertymountainresort.com,39°45′48.6″N 77°22′30″W ﻿ / ﻿ 39.763500°N 77.37500°W ﻿ / 39.763500; -77.37500,,,
Montage Mountain Ski Resort,Pennsylvania,https://en.wikipedia.org/wiki/Montage_Mountain_Ski_Resort,"Scranton, Pennsylvania , United States","1,960 ft (600 m)",960 ft (290 m),"1,000 ft (300 m)",140 acres (0.57 km 2 ),26 - 19% - beginner - 46% - intermediate - 19% - advanced - 15% - expert,,60 in (1.5 m),www.montagemountainresorts.com,41°21′12″N 75°39′33″W ﻿ / ﻿ 41.3533°N 75.6592°W ﻿ / 41.3533; -75.6592,,,
Mountain View at Edinboro,Pennsylvania,https://en.wikipedia.org/wiki/Mountain_View_at_Edinboro,"Washington Township , Erie County, Pennsylvania , United States",1551 feet,,350 feet,,9 total,,"Over 150""",,41°51′04″N 80°04′13″W ﻿ / ﻿ 41.85111°N 80.07028°W ﻿ / 41.85111; -80.07028,,,
Seven Springs Mountain Resort,Pennsylvania,https://en.wikipedia.org/wiki/Seven_Springs_Mountain_Resort,"Seven Springs, Pennsylvania , United States","2,994 ft (913 m)","2,240 ft (680 m)",750 ft (232 m),285 acres (1.15 km 2 ),40 trails 35% Beginner 40% Intermediate 15% Advanced 10% Expert,,"135 in (3,400 mm)",http://www.7springs.com,40°1′23″N 79°17′34″W ﻿ / ﻿ 40.02306°N 79.29278°W ﻿ / 40.02306; -79.29278,,,
Shawnee Mountain Ski Area,Pennsylvania,https://en.wikipedia.org/wiki/Shawnee_Mountain_Ski_Area,"Middle Smithfield Township / Smithfield Township, Monroe County, Pennsylvania , U.S.","1,351 ft (412 m)",,700 ft (210 m),125 acres,23 total,,,http://www.shawneemt.com,41°2′27″N 75°5′0″W ﻿ / ﻿ 41.04083°N 75.08333°W ﻿ / 41.04083; -75.08333,,,
Ski Big Bear,Pennsylvania,https://en.wikipedia.org/wiki/Ski_Big_Bear,,,,,,,,,,,,,
Ski Denton,Pennsylvania,https://en.wikipedia.org/w/index.php?title=Ski_Denton&action=edit&redlink=1,,,,,,,,,,,,,
Ski Roundtop,Pennsylvania,https://en.wikipedia.org/wiki/Ski_Roundtop,"Warrington Township , York County, Pennsylvania , United States","1,340 feet (410 m)",740 feet (230 m),600 feet (180 m),103 acres (0.42 km 2 ),22 total 29% Easier 30% More Difficult 31% Most Difficult 10% Extremely Difficult,,,http://www.skiroundtop.com,40.108°N 76.926°W,,,
Schwenksville,Pennsylvania,"https://en.wikipedia.org/wiki/Schwenksville,_Pennsylvania",,,,,,,,,https://www.schwenksville-pa.org/,40.25639°N 75.46500°W,,,
Ski Sawmill,Pennsylvania,https://en.wikipedia.org/w/index.php?title=Ski_Sawmill&action=edit&redlink=1,,,,,,,,,,,,,
Tussey Mountain Ski Area,Pennsylvania,https://en.wikipedia.org/wiki/Tussey_Mountain_Ski_Area,"Boalsburg , Centre County , Pennsylvania , United States","1,819 feet (554 m)",,500 feet (150 m),"38 acres (150,000 m 2 )",14 total,,,http://www.tusseymountain.com,40.7682°N 77.7520°W,,,
Whitetail Ski Resort,Pennsylvania,https://en.wikipedia.org/wiki/Whitetail_Ski_Resort,"Montgomery Township , Franklin County, Pennsylvania , United States","1,800 feet (550 m)",865 feet (264 m),935 feet (285 m),120 acres (0.49 km 2 ),22 total 27% beginner 50% intermediate 18% advanced 5% terrain park,,,http://www.skiwhitetail.com,39°44′30″N 77°55′58″W ﻿ / ﻿ 39.74167°N 77.93278°W ﻿ / 39.74167; -77.93278,Vail Resorts,,
Cloudmont Ski & Golf Resort,Alabama,https://en.wikipedia.org/w/index.php?title=Cloudmont_Ski_%26_Golf_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Appalachian Ski Mountain,North Carolina,https://en.wikipedia.org/wiki/Appalachian_Ski_Mountain,"Watauga County , North Carolina , U.S.","4,000 feet (1,219 m)","3,635 feet (1,108 m)",365 feet (111 m),27 acres (11 ha),11,,60 inches (150 cm),http://www.appskimtn.com/,36°10′26″N 81°39′43″W ﻿ / ﻿ 36.174°N 81.662°W ﻿ / 36.174; -81.662,,,
Cataloochee Ski Area,North Carolina,https://en.wikipedia.org/wiki/Cataloochee_Ski_Area,"Haywood County , North Carolina , U.S.","5,400 feet (1,646 m)","4,660 feet (1,420 m)",740 feet (226 m),,18 total 44% beginner 39% intermediate 17% advanced,,48 inches (120 cm),https://cataloochee.com/,35°33′47″N 83°05′24″W ﻿ / ﻿ 35.563°N 83.090°W ﻿ / 35.563; -83.090,,,
Sapphire Valley,North Carolina,https://en.wikipedia.org/w/index.php?title=Sapphire_Valley&action=edit&redlink=1,,,,,,,,,,,,,
Ski Beech,North Carolina,https://en.wikipedia.org/w/index.php?title=Ski_Beech&action=edit&redlink=1,,,,,,,,,,,,,
Sugar Mountain,North Carolina,https://en.wikipedia.org/w/index.php?title=Sugar_Mountain_(ski_area)&action=edit&redlink=1,,,,,,,,,,,,,
Wolf Ridge,North Carolina,https://en.wikipedia.org/wiki/Wolf_Ridge,"Madison County , North Carolina , U.S.","4,700 feet (1,433 m)","3,900 feet (1,189 m)",700 feet (213 m),54 acres (22 ha),23 - 4 beginner - 8 intermediate -   3 advanced,,,https://www.hatleypointe.com//,35°57′18″N 82°30′32″W ﻿ / ﻿ 35.955°N 82.509°W ﻿ / 35.955; -82.509,,,
Ober Gatlinburg,Tennessee,https://en.wikipedia.org/wiki/Ober_Gatlinburg,"Gatlinburg , Tennessee , USA","3,208 feet (978 m)","2,682 feet (817 m)",526 feet (160 m),,11 total - 27% beginner - 55% intermediate - 18% advanced,,,https://www.obermountain.com/,35°42′11″N 83°33′28″W ﻿ / ﻿ 35.70306°N 83.55778°W ﻿ / 35.70306; -83.55778,,,
Mount Aggie Ski Slope,Texas,https://en.wikipedia.org/w/index.php?title=Mount_Aggie_Ski_Slope&action=edit&redlink=1,,,,,,,,,,,,,
Bryce Resort,Virginia,https://en.wikipedia.org/wiki/Bryce_Resort,"Basye , Virginia , United States","1,750 ft (530 m)","1,250 ft (380 m)",500 ft (150 m),25 acres (0.0 sq mi; 0.1 km 2 ),12 33% easiest 50% more difficult 17% most difficult,,,http://www.bryceresort.com/Home.aspx,38°49′03″N 78°45′57″W ﻿ / ﻿ 38.81750°N 78.76583°W ﻿ / 38.81750; -78.76583,,,
Massanutten Ski Resort,Virginia,https://en.wikipedia.org/wiki/Massanutten_Mountain,,,,,,,,,,38°38′34.9″N 78°36′43.3″W ﻿ / ﻿ 38.643028°N 78.612028°W ﻿ / 38.643028; -78.612028,,,
The Homestead,Virginia,"https://en.wikipedia.org/wiki/The_Homestead_(Hot_Springs,_Virginia)","US 220, Hot Springs, Virginia",,,,,,,,,37°59′43.70″N 79°49′46.72″W ﻿ / ﻿ 37.9954722°N 79.8296444°W ﻿ / 37.9954722; -79.8296444,,,
Wintergreen Resort,Virginia,https://en.wikipedia.org/wiki/Wintergreen_Resort,"Wintergreen , Nelson County, Virginia , USA","3,515 ft (1,071 m)","2,512 ft (766 m)","1,003 ft (306 m)",129 acres (52 ha),26 total 23% beginner 35% intermediate 42% advanced,,35 in (890 mm),http://www.wintergreenresort.com/,37°55′48″N 78°56′30″W ﻿ / ﻿ 37.93000°N 78.94167°W ﻿ / 37.93000; -78.94167,,,
Canaan Valley Resort,West Virginia,https://en.wikipedia.org/wiki/Canaan_Valley_Resort_State_Park,"Tucker , West Virginia, United States",,,,,,,,https://wvstateparks.com/park/canaan-valley-resort-state-park/,39°01′25″N 79°27′57″W ﻿ / ﻿ 39.02361°N 79.46583°W ﻿ / 39.02361; -79.46583,Regency Hotel Management Company,1971,
Oglebay Resort,West Virginia,https://en.wikipedia.org/w/index.php?title=Oglebay_Resort_and_conference_Center&action=edit&redlink=1,,,,,,,,,,,,,
Snowshoe Mountain,West Virginia,https://en.wikipedia.org/wiki/Snowshoe_Mountain,"Pocahontas County , West Virginia","4,848 ft (1,478 m)","3,348 ft (1,020 m)","1,500 ft (460 m)",244 acres (99 ha),60,,180 inches (460 cm),https://www.snowshoemtn.com/,38°24′32″N 79°59′41″W ﻿ / ﻿ 38.40889°N 79.99472°W ﻿ / 38.40889; -79.99472,Alterra Mountain Company,,Operating
Timberline Mountain,West Virginia,https://en.wikipedia.org/wiki/Timberline_Mountain,"Canaan Valley , Tucker County, West Virginia","4,268 feet (1300 m)",,1000 feet (304 m),100 acres (0.4 km 2 ),23 total 9 Easier 6 More Difficult 4 Most Difficult 2 Expert Only 2 terrain parks,,200 in (510 cm),https://timberlinemountain.com/,39°02′33″N 79°23′56″W ﻿ / ﻿ 39.0425°N 79.3990°W ﻿ / 39.0425; -79.3990,,,Operating
Winterplace,West Virginia,https://en.wikipedia.org/wiki/Winterplace,"Ghent , West Virginia","3,600 ft (1,100 m)","2,997 ft (913 m)",603 ft (184 m),90 acres (0.36 km 2 ),28 total 43% easiest 43% more difficult 14% most difficult,,100 inches,http://www.winterplace.com,37°35′24″N 81°06′54″W ﻿ / ﻿ 37.59000°N 81.11500°W ﻿ / 37.59000; -81.11500,,,
Chestnut Mountain Resort,Illinois,https://en.wikipedia.org/wiki/Chestnut_Mountain,Galena IL,"1,020 ft.",600 ft.,420 ft.,220 acres (0.89 km 2 ),19,,34 inches,https://www.chestnutmtn.com/,,,,
Ski Four Lakes,Illinois,https://en.wikipedia.org/w/index.php?title=Ski_Four_Lakes&action=edit&redlink=1,,,,,,,,,,,,,
Raging Buffalo Snowboard Park,Illinois,https://en.wikipedia.org/w/index.php?title=Raging_Buffalo_Snowboard_Park&action=edit&redlink=1,,,,,,,,,,,,,
Ski Snowstar,Illinois,https://en.wikipedia.org/wiki/Ski_Snowstar,,,,,,,,,,,,,
Villa Olivia,Illinois,https://en.wikipedia.org/w/index.php?title=Villa_Olivia&action=edit&redlink=1,,,,,,,,,,,,,
Paoli Peaks,Indiana,https://en.wikipedia.org/wiki/Paoli_Peaks,"Paoli Township , Orange County , Indiana , U.S.",,,300 ft (91 m),,15 - 25% beginner - 55% intermediate - 20% advanced,,25 in (64 cm),http://www.paolipeaks.com,38°33′28″N 86°30′37″W ﻿ / ﻿ 38.55778°N 86.51028°W ﻿ / 38.55778; -86.51028,,,
Perfect North Slopes,Indiana,https://en.wikipedia.org/wiki/Perfect_North_Slopes,"19074 Perfect Pl Ln, Lawrenceberg, IN 47025",800 ft (240 m),400 ft (120 m),400 ft (120 m),100 acres (40 ha),23 total 5 beginner 10 intermediate 1 advanced intermediate 4 advanced 1 expert 2 terrain parks,,23 in (58 cm),https://www.perfectnorth.com/,39°08′57″N 84°53′12″W ﻿ / ﻿ 39.149208°N 84.886581°W ﻿ / 39.149208; -84.886581,,,Open
Mt. Crescent Ski Area,Iowa,https://en.wikipedia.org/w/index.php?title=Mt._Crescent_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Seven Oaks Snow Ski Area,Iowa,https://en.wikipedia.org/w/index.php?title=Seven_Oaks_Snow_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Sleepy Hollow Sports Park,Iowa,https://en.wikipedia.org/w/index.php?title=Sleepy_Hollow_Sports_Park&action=edit&redlink=1,,,,,,,,,,,,,
Sundown Mountain Resort,Iowa,https://en.wikipedia.org/w/index.php?title=Sundown_Mountain_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Alpine Valley,Michigan,https://en.wikipedia.org/w/index.php?title=Alpine_Valley_(ski_area)&action=edit&redlink=1,,,,,,,,,,,,,
Big Powderhorn Mountain,Michigan,https://en.wikipedia.org/wiki/Big_Powderhorn_Mountain,"Bessemer Township , Michigan",,,,253 Acres,45,,,https://bigpowderhorn.net/,46.50417°N 90.09611°W,,,
Bittersweet Ski Resort,Michigan,https://en.wikipedia.org/w/index.php?title=Bittersweet_Ski_Resort&action=edit&redlink=1,,,,,,,,,,,,,
Boyne Mountain Resort,Michigan,https://en.wikipedia.org/wiki/Boyne_Mountain_Resort,"Boyne Valley Township, Charlevoix County","1,152 ft (351 m)",719 ft (219 m),433 ft (132 m),175 acres (0.71 km 2 ),60,,,http://www.boyne.com/BoyneMountain/,45°09′50″N 84°55′58″W ﻿ / ﻿ 45.16389°N 84.93278°W ﻿ / 45.16389; -84.93278,Boyne Resorts,,Operating
Caberfae Peaks Ski & Golf Resort,Michigan,https://en.wikipedia.org/wiki/Caberfae_Peaks_Ski_%26_Golf_Resort,"Caberfae, Michigan","1,533 ft (467 m)","1,181 ft (360 m)",429 feet (131 m),225 acres (0.91 km 2 ),34,,125 inches (320 cm) annual,http://caberfaepeaks.com,44°14′59″N 85°43′30″W ﻿ / ﻿ 44.24972°N 85.72500°W ﻿ / 44.24972; -85.72500,,,
