resort,city,state,peak_elevation,base_elevation,vertical_drop,skiable_acreage,total_trails,total_lifts,avg_annual_snowfall,lift_ticket
Copper Mountain (Colorado) [19],Frisco,Colorado,12313,9712,2601,2450,126,22,282,190
Vail Ski Resort,Vail,Colorado,11570,8120,3450,5289,195,31,354,275
Beaver Creek,Avon,Colorado,11440,8100,3340,2082,167,24,325,275
Winter Park Resort,Winter Park,Colorado,12060,9000,3060,3000,143,25,365,109
Saddleback Maine,Farmington,Maine,4120,2120,2000,485,66,5,200,64
Boyne Mountain,Boyne City,Michigan,1120,620,500,41,60,10,140,102
Mountain Creek,Vernon Township,New Jersey,1480,440,1040,200,41,8,65,80
Blue Mountain,Collingwood,Ontario,1483,741,742,250,34,15,109,67
Mt Bachelor [20],Bend,Oregon,9065,5700,3365,4318,101,11,462,99
Mount Hood Meadows [21],Portland,Oregon,7300,4523,2777,2150,85,11,430,79
Mont-Sainte-Anne,Beaupré,Quebec,2625,575,2050,450,65,13,187,65
Mont Tremblant Resort,Mont Tremblant,Quebec,2870,750,2120,627,95,14,156,70
Le Massif,Petite-Rivière-Saint-François,Quebec,2645,118,2527,410,48,4,248,61
Brian Head,Brian Head,Utah,11307,9600,1548,650,14,8,370,45
Park City Mountain Resort[82],Park City,Utah,10000,6900,3100,7300,348,41,360,179
Deer Valley,Park City,Utah,9570,6570,3000,2026,100,21,280,209
Brighton Ski Resort [22],Salt Lake City,Utah,10500,8755,1745,1050,66,6,500,99
Alta Ski Area [23],Salt Lake City,Utah,10550,8530,2020,2200,116,10,560,125
Snowbird [24],Salt Lake City,Utah,10992,7760,3240,2500,85,13,500,145
Smugglers' Notch,Jeffersonville,Vermont,3640,1030,2610,1000,78,16,288,82
Windham Mountain,Windham,New York,3100,1500,1600,279,52,12,10087,98
Hunter Mountain,Hunter,New York,3200,1600,1600,240,58,10,12089,91
Killington Ski Resort,Killington,Vermont,4241,1165,3050,1509,155,21,250,125
Okemo Mountain,Ludlow,Vermont,3344,1144,2200,632,119,19,200,119
Stowe Mountain Resort,Stowe,Vermont,3719,1559,2160,485,116,13,333,139
Sugarbush Resort,Warren,Vermont,4083,1483,2600,508,111,16,269,128
Sugarloaf,Carrabassett Valley,Maine,4237,1417,2820,1153,154,14,200,105
Snowshoe Mountain,Marlinton,West Virginia,4848,3348,1500,244,60,14,180,109
Banff Sunshine [25],Banff,Alberta,8954,5440,3514,3358,107,12,360,82
Mt. Norquay [26],Banff,Alberta,8040,5500,1650,190,28,5,120,59
Grouse Mountain [27],North Vancouver,British Columbia,4039,899,1198,212,26,5,120,58
Mount Seymour [28],North Vancouver,British Columbia,4150,935,1083,200,23,5,394,51
Cypress Mountain [29],West Vancouver,British Columbia,4724,2985,2001,600,53,6,245,60
Stevens Pass [30],Stevens Pass,Washington,5845,4061,1800,1125,37,10,450,111
Sun Peaks Resort,Kamloops,British Columbia,6824,3930,2894,4270,135,12,237,74
Crystal Mountain,Enumclaw,Washington,7012,3912,3100,2600,57,12,350,96
Red Mountain Resort [31],Rossland [32],British Columbia,6807,3887,2919,4200,110,7,300,74
Mt Baker [33],Glacier,Washington,5089,3500,1589,1000,31,10,641,63
Whiteface Mountain,Lake Placid,New York,4650,1220,3430,314,87,11,168100,104
Powder Mountain,Eden,Utah,9422102,6900,2205,8464102,167,9,500,95
Sugar Mountain Resort [34],Banner Elk,North Carolina,5300,4100,1200,120,21,8,77,77
Beech Mountain Resort [35],Beech Mountain,North Carolina,5506,4675,831,95,17,8,84,70
Appalachian Ski Mountain [36],Blowing Rock,North Carolina,4000,3635,365,27,12,5,27,66
Cataloochee Ski Area [37],Maggie Valley,North Carolina,5400,4660,740,50,18,5,24,72
Sapphire Valley Ski Area [38],Sapphire,North Carolina,3400,3200,200,8,3,3,24,45
Wolf Ridge Ski Resort [39],Mars Hill,North Carolina,4700,4000,700,65,15,4,65,65
Aspen Highlands[110],Aspen,Colorado,11678,8040,3638,1010,144,5,300,74
Aspen Mountain[112],Aspen,Colorado,11212,7945,3267,673,76,8,300,174
Buttermilk[113],Aspen,Colorado,9900,7870,2030,435,44,8,200,174
Snowmass[114],Aspen,Colorado,12510,8104,4406,3362,96,17,300,174
Lee Canyon (Ski and Snowboard Resort)[115],Las Vegas,Nevada,11289,8510,860,385,27,3,161,79
Terry Peak,Lead,South Dakota,7064,5930,1134,450,30,4,150,59
Mount Snow [40],Dover,Vermont,3600,1900,1700,600,86,20,156,118
Wintergreen,Charlottesville,Virginia,3515,2512,1003,129,26,5,35,94
Angel Fire Resort [41],Angel Fire,New Mexico,10677,8600,2077,560,80,7,210,84
Bridger Bowl,Bozeman,Montana,8700,6100,2600,2000,75,11,350,63
Turner Mountain,Libby,Montana,5952,3842,2110,1000,22,1,200,38
Discovery,Anaconda,Montana,8158,5770,2388,2200,67,8,150,52
Great Divide,Helena,Montana,7210,5880,1330,1500,140,6,180,48
Showdown,Great Falls,Montana,8200,6800,1400,640,36,4,240,49
Maverick Mountain,Dillon,Montana,8820,6800,2020,350,24,2,200,45
Lost Trail Powder Mountain,Hamilton,Montana,8200,6400,1800,1800,60,8,325,46
Blacktail Mountain,Kalispell,Montana,6780,5340,1440,1000,26,4,250,42
Bear Paw Ski Bowl,Havre,Montana,5280,4200,1080,80,11,2,140,20
Red Lodge Mountain,Red Lodge,Montana,9416,7016,2400,1635,70,7,250,69
Montana Snowbowl,Missoula,Montana,7600,5000,2600,950,39,4,300,52
Teton Pass,Choteau,Montana,7200,6190,1010,114,26,2,250,45
White Pass,Yakima,Washington,6500,4500,2000,1400,45,8,350,69
49 Degrees North,Spokane,Washington,5774,3923,1851,2325,82,6,300,62
Hurricane Ridge,Port Angeles,Washington,5500,4800,700,20247,10,3,400,37
The Summit at Snoqualmie,North Bend,Washington,5420,2610,2280,1914,62,27,435,58
Ski Bluewood,Dayton,Washington,5670,4454,1216,530,24,3,300,50
Mount Spokane,Spokane,Washington,5889,3818,2071,1704,52,8,300,62
Mission Ridge,Wenatchee,Washington,6820,4570,2250,2000,36,6,200,75
Loup Loup Ski Bowl,Twisp,Washington,5280,4040,1240,550,10,3,150,55
Echo Valley,Chelan,Washington,3900,3000,900,70,6,4,2057,30
Badger Mountain,Waterville,Washington,3470,3145,325,10,5,3,120,10
Leavenworth Ski Hill,Leavenworth,Washington,1706,1476,230,17,2,2,2057,22
Meany Lodge,Easton,Washington,25692,3281,450,54,32,1,2057,40
Sitzmark Lifts,Tonasket,Washington,4950,4300,650,20247,11,2,2057,45
Mount Eyak,Cordova,Alaska,1200,400,800,100,10,2,350,30
Moose Mountain,Fairbanks,Alaska,1985,685,1300,200,40,0,70,40
Eaglecrest,Juneau,Alaska,2750,1130,1620,640,34,4,350,58
Hilltop,Anchorage,Alaska,780,486,294,30,13,3,69,34
Arctic Valley,Anchorage,Alaska,4000,2500,1500,320,24,3,250,40
Mount Aurora Skiland,Fairbanks,Alaska,2435,1408,1027,530,46,2,2057,40
White Pine,Pinedale,Wyoming,9500,8450,1050,350,27,2,150,50
Snowy Range,Centennial,Wyoming,9663,8798,865,250,27,5,245,49
Snow King,Jackson,Wyoming,7808,6237,1571,400,32,5,175,59
Pine Creek,Cokeville,Wyoming,8200,6875,1325,370,30,2,150,45
Hogadon,Casper,Wyoming,8000,7370,630,60,27,2,140,48
Meadowlark Ski Lodge,Ten Sleep,Wyoming,9500,8500,1000,300,14,3,2057,48
Sleeping Giant,Cody,Wyoming,7428,6619,810,184,49,3,310,42
Elko Snobowl,Elko,Nevada,6988,6338,650,60,10,2,24,20
Diamond Peak,Incline Village,Nevada,8540,6700,1840,655,30,6,225,99
Great Bear Ski Valley,Sioux Falls,South Dakota,1530,1352,178,220,14,4,150,29
Huff Hills,Mandan,North Dakota,2150,1725,425,20247,21,3,40,35
Bottineau Winter Park,Bottineau,North Dakota,2450,2270,180,40,8,6,13,35
Elk Ridge,Williams,Arizona,8150,7500,650,37,10,2,150,40
Mount Lemmon Ski Valley,Tucson,Arizona,9157,8200,957,200,21,3,180,60
Sunrise Park,Greer,Arizona,11100,9200,1900,800,65,9,250,78
Sandia Peak,Albuquerque,New Mexico,10378,8678,1700,200,39,5,100,55
Ski Apache,Ruidoso,New Mexico,11500,9600,1900,750,55,8,185,74
Sipapu,Taos,New Mexico,9225,8200,1055,200,41,6,190,45
Red River,Red River,New Mexico,10350,8750,1600,209,64,7,214,82
Kelly Canyon,Idaho Falls,Idaho,6600,5600,1000,640,26,5,200,42
Pebble Creek,Pocatello,Idaho,8560,6360,2200,1100,54,3,250,52
Magic Mountain,Twin Falls,Idaho,7240,6540,700,120,11,4,230,33
Blizzard Mountain,Arco,Idaho,6305,5595,710,20247,43,1,2057,64
Rotarun,Hailey,Idaho,5895,5420,475,20247,12,1,2057,20
Chipmunk Hill,Challis,Idaho,25692,3281,1173,30,1,1,2057,5
Snowhaven,Grangeville,Idaho,5600,5200,400,40,9,2,60,19
Tamarack,Boise,Idaho,7660,4900,2760,1100,45,6,300,71
Cottonwood Butte,Cottonwood,Idaho,5730,4885,845,260,7,2,45,20
Bald Mountain,Pierce,Idaho,4800,4000,800,140,16,2,100,20
Silver Mountain,Coeur d'Alene,Idaho,6297,4100,2197,1600,67,8,300,58
Mohawk Mountain,Cornwall,Connecticut,1600,960,640,107,25,8,24,67
Powder Ridge,Middlefield,Connecticut,803,377,426,80,19,7,60,49
Ski Sundown,Hartford,Connecticut,1075,450,625,70,16,5,45,62
Mount Southington,Waterbury,Connecticut,525,100,425,51,14,7,80,62
Yawgoo Valley,Exeter,Rhode Island,310,70,240,36,14,3,39,50
Frost Fire,Walhalla,North Dakota,1400,1070,330,20247,10,3,2057,23
Hidden Valley,Wildwood,Missouri,860,540,320,65,17,9,19,49
Snow Creek,Weston,Missouri,1099,799,300,25,12,5,20,47
Ober Gatlinburg,Gatlinburg,Tennessee,3300,2700,600,38,10,4,9,65
Paoli Peaks,Paoili,Indiana,900,600,300,65,17,8,18,45
Perfect North Slopes,Lawrenceburg,Indiana,800,400,400,100,23,11,23,52
Alpine Valley,Chesterland,Ohio,1500,1260,240,72,11,5,120,44
Boston Mills/Brandywine,Peninsula,Ohio,871,531,240,79,18,16,54,44
Mad River,Bellafontaine,Ohio,1460,1160,300,144,23,12,36,49
Snow Trails,Mansfield,Ohio,1475,1175,300,80,17,7,52,52
Big Creek,Concord,Ohio,1466,1292,174,23,5,2,102,64
Wisp Ski Resort,McHenry,Maryland,3115,2145,700,132,34,12,100,49
Campgaw Mountain,Mahwah,New Jersey,726,450,276,23,12,5,45,41
Mountain Creek,Vernon,New Jersey,1490,450,1040,167,46,9,65,80
Cockaigne Resort,Cherry Creek,New York,2,1592,430,100,11,3,175,50
Big Rock,Presque Isle,Maine,1590,670,920,60,27,3,100,40
Big Squaw Mountain,Greenville,Maine,2920,1300,1620,1216,33,1,136,30
Mount Jefferson,Lee,Maine,775,343,432,160,13,2,75,25
New Hermon Mountain,Bangor,Maine,450,150,300,70,20,3,90,35
